trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
35,F4,0.0,0.0,96.55909056229484,17.36934462500942,9.15541313801782,-0.8478588491717528,-2.7270107526887437,-0.7311060014637718,False,False,False,False,False
36,F3,0.3411371237458194,1.18359375,984.7867551689937,24.84626535439081,24.2465857938505,3.4310554945054954,0.15899132458740117,-0.6612054301764085,True,False,False,False,True
36,Fz,0.0,0.0,320.43945983062497,21.216144045166573,88.91432059205016,3.0228454022988593,1.2387234042554431,3.806107142857131,False,False,False,True,True
36,F4,0.3366778149386845,1.16796875,1033.6461432822157,22.37735561150541,265.2018005645838,2.7635094158674804,-0.0821971326164844,1.1096860616410507,True,False,False,False,True
37,F3,0.0,0.0,357.3052567330434,149.5826657511253,120.83619439993896,0.3830567032967029,46.82651311891609,0.18034083965704167,False,False,True,False,True
37,Fz,0.0,0.0,189.97482261387063,69.27443350881204,13.824673838406852,0.8132764367816143,25.027500000002696,-0.178544117647061,False,False,True,False,True
37,F4,0.0,0.0,349.4621194781414,91.20164797436455,171.72503242542143,0.12678482999128138,36.265052568703766,0.43765434658859825,False,False,True,False,True
38,F3,0.0,0.0,185.2750438696878,21.849393453879454,59.17448691538874,-0.45258208791208915,-0.9622257723233594,-0.35689272691435914,False,False,False,False,False
38,Fz,0.0,0.0,59.327077134355704,17.991912718394612,3.4943160143434397,-1.399393678160922,-0.3572659574468576,-0.7267271908763463,False,False,False,False,False
38,F4,0.0,0.0,104.92103456168456,19.269092851148116,59.57122148470279,-0.8156333914559722,-1.723722222222625,-0.36865206961047436,False,False,False,False,False
39,F3,0.4069119286510591,1.421875,1041.0315098802166,23.686579690241985,413.68734264133667,3.7042650549450546,-0.2748808717731138,2.7318346802010476,True,True,False,False,True
39,Fz,0.0,0.0,232.18127718013284,17.49294270237287,121.40077821011664,1.5280913793103499,-0.6042553191488982,5.530009303721457,False,False,False,True,True
39,F4,0.4882943143812709,1.7109375,979.7512779430839,20.656137941557848,366.97947661554895,2.5558081081081077,-0.9912007168461405,1.8413954216475563,True,False,False,False,True
40,F3,0.30211817168338906,1.046875,1383.5049973296711,23.35240711070407,790.1579308766308,5.367834065934066,-0.39990457046131866,6.01187094707796,True,True,False,True,True
40,Fz,0.0,0.0,209.0180819409477,17.795071335927386,12.710765239948273,1.135795977011499,-0.45470212765955625,-0.2376539615846219,False,False,False,False,False
40,F4,0.0,0.0,1210.193026626993,19.172961013199192,538.6434729533837,3.443889973844812,-1.7744910394267956,3.075537895421648,False,False,False,False,False
41,F3,0.0,0.0,803.9673456931408,21.779201953154658,601.2207217517358,2.552723076923076,-0.9884864578925481,4.365737311520653,False,False,False,True,True
41,Fz,0.0,0.0,147.2800793469138,16.754406042572555,8.972304875257464,0.09019176245210667,-0.9698297872341459,-0.4360363145258072,False,False,False,False,False
41,F4,0.013377926421404682,0.0234375,1481.7425803006026,19.87487602044728,1186.32791638056,4.4903940714908455,-1.4037980884111716,7.731930023582987,False,True,False,True,True
42,F3,0.0,0.0,224.58228427557788,23.87273975738157,96.58960860608829,-0.2616467032967041,-0.20523296656790846,-0.03090987483985469,False,False,False,False,False
42,Fz,0.0,0.0,211.7952239261466,16.93904020752258,141.22224765392542,1.18283007662836,-0.8784361702128599,6.58184063625447,False,False,False,True,True
42,F4,0.0,0.0,361.8829633020524,18.252841992828515,106.56900892652772,0.17465257192676573,-2.260421146953699,-0.030771285679434615,False,False,False,False,False
43,F3,0.0,0.0,155.73357747768375,21.86923018234533,36.45380331120771,-0.5960801098901102,-0.9548042742276546,-0.5548488715876624,False,False,False,False,False
43,Fz,0.0,0.0,152.07141222247662,17.605859464408244,0.06103608758678547,0.1713385057471286,-0.5483617021277037,-0.9089150660264032,False,False,False,False,False
43,F4,0.0,0.0,212.49713893339435,20.021362630655442,60.288395513847604,-0.40105405405405414,-1.3264360812427654,-0.3634960966089287,False,False,False,False,False
44,F3,0.0,0.0,189.2118715190354,21.335164415960914,5.79842832074462,-0.43345890109890267,-1.1546138383410827,-0.8219367793436495,False,False,False,False,False
44,Fz,0.0,0.0,163.72930495155265,16.50873579003567,10.131990539406388,0.36877835249042334,-1.0914361702129187,-0.37449729891956524,False,False,False,False,False
44,F4,0.0,0.0,219.0280003051805,18.542763408865238,70.7713435568781,-0.3758852659110721,-2.1073088410997003,-0.28813112954379044,False,False,False,False,False
45,F3,0.0,0.0,612.4055848020143,23.109788662546695,507.48455024032967,1.6222095604395612,-0.4906752010156614,3.5490518872573222,False,False,False,True,True
45,Fz,0.0,0.0,138.8570992599375,18.7121385519187,4.058899824521234,-0.052461111111109585,-0.0007553191489397651,-0.6967674069627796,False,False,False,False,False
45,F4,0.0,0.0,355.7488364995804,19.78789959563584,196.24628061341258,0.15101272885789027,-1.4497317801675962,0.6139447426201506,False,False,False,False,False
46,F3,0.18840579710144928,0.64453125,1159.5025558861676,33.7483787289235,548.3329518577859,4.279739560439561,3.4895313161235455,3.904947521434912,True,True,False,True,True
46,Fz,0.0,0.0,111.66552224002442,20.39520866712436,10.009918364232817,-0.5129818007662843,0.832361702127768,-0.38097509003601177,False,False,False,False,False
46,F4,0.411371237458194,1.43359375,1249.9275196459907,21.667811093308767,776.3485160601206,3.5970197035745426,-0.4569193548389085,4.784468691550785,True,True,False,True,True
47,F3,0.0,0.0,114.01541161211571,20.645456626230285,67.64324406805525,-0.7987265934065939,-1.412653618281815,-0.283107864393417,False,False,False,False,False
47,Fz,0.0,0.0,69.27595941100162,18.3138780804151,3.0212863355459376,-1.2308978927203111,-0.19789361702121258,-0.751828631452572,False,False,False,False,False
47,F4,0.0,0.0,112.30640115968572,22.226291294728036,71.73266193636982,-0.7871714908456842,-0.16197670250901408,-0.2812199316906566,False,False,False,False,False
48,F3,0.0,0.0,165.77401388571002,23.076218814374023,51.11772335393306,-0.5473085714285716,-0.503234659331339,-0.42708805558293106,False,False,False,False,False
48,Fz,0.0,0.0,140.6881818875412,18.13076981765462,23.620965896085977,-0.021449616858234148,-0.28853191489362384,0.3412986194477753,False,False,False,False,False
48,F4,0.0,0.0,167.20836194399942,21.576256961928504,54.74937056534674,-0.5755890148212728,-0.5052706093192484,-0.4033177604293732,False,False,False,False,False
49,F3,0.0,0.0,144.3503471427482,20.508125429159925,5.1117723353933116,-0.6513742857142861,-1.4640332204824411,-0.8279193357642662,False,False,False,False,False
49,Fz,0.0,0.0,63.14183260852985,15.90142671854723,13.778896772716848,-1.3347863984674344,-1.3920531914895078,-0.1809732893157239,False,False,False,False,False
49,F4,0.0,0.0,135.22545204852372,18.712138551918812,40.63477531090251,-0.6988455100261551,-2.0178590203110254,-0.5047916971619097,False,False,False,False,False
50,F3,0.0,0.0,127.71801327534911,22.523842221713448,30.258640421148925,-0.7321660439560443,-0.7098948370715593,-0.6088248250714511,False,False,False,False,False
50,Fz,0.0,0.0,82.24612802319382,18.07278553444717,14.373998626687978,-1.011233141762452,-0.31723404255320303,-0.14939405762304864,False,False,False,False,False
50,F4,0.0,0.0,323.8879987792783,20.570687418936487,74.21988250553136,0.02822667829119454,-1.0363285543610092,-0.2633385785150852,False,False,False,False,False
51,F3,0.0,0.0,750.0114442664226,21.805142290379095,24.567025253681322,2.2906316483516487,-0.9787814219213052,-0.6584135705134523,False,False,False,False,False
51,Fz,0.0,0.0,148.80598153658332,18.435950255588658,10.131990539406388,0.11603467432949933,-0.13746808510631975,-0.37449729891956524,False,False,False,False,False
51,F4,0.0,0.0,913.8628213931489,20.286869611657803,87.8767071030747,2.3018856146469053,-1.1862174432499928,-0.16515568837927944,False,False,False,False,False
52,F3,0.0,0.0,1339.2538338292516,28.21698329137113,190.92088197146558,5.152883516483517,1.4200751163775145,0.7909604316546767,False,True,False,False,True
52,Fz,0.0,0.0,236.45380331120782,19.528496223392036,95.3536278324558,1.6004515325670547,0.40334042553199334,4.147810624249673,False,False,False,True,True
52,F4,0.0,0.0,1106.7368581673913,23.06248569466714,104.47852292668028,3.045188142981691,0.2796314217444208,-0.045800398471172586,False,False,False,False,False
53,F3,0.017837235228539576,0.0625,1396.078431372549,27.814145113298196,185.2903028915846,5.42890967032967,1.2693616165890562,0.7419034690056177,True,True,False,False,True
