sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
raw_qc_pass,target_locked,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.5099489795918368,0.5114417646568394,0.027321267013864437,0.538911765095754,0.4624083655223776,4
raw_qc_pass,target_locked,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.5255102040816326,0.5206828089988853,0.055981077766730516,0.5255341425891249,0.5079160263570421,4
raw_qc_pass,target_locked,logistic_baseline_13_l2_10,baseline_13,10.0,0,0.0,0.5230612244897959,0.5174054466942506,0.07436023263552317,0.5216434595841037,0.5035631154363427,4
raw_qc_pass,target_locked,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.5204081632653061,0.5158238481094085,0.03267467831035704,0.5325051214258859,0.4894130491359163,4
raw_qc_pass,target_locked,logistic_erp_100ms_l2_0.1,erp_100ms,0.1,0,0.0,0.5150510204081633,0.516629363509257,0.038411705696203044,0.5194750134626064,0.509256467276821,4
raw_qc_pass,target_locked,logistic_erp_100ms_l2_1,erp_100ms,1.0,0,0.0,0.49979591836734694,0.5005686895833008,0.03491220393799863,0.5015293115988153,0.49142757324664593,4
raw_qc_pass,target_locked,logistic_erp_100ms_l2_10,erp_100ms,10.0,0,0.0,0.4872959183673469,0.4884134157992248,0.031221913987539478,0.47516132000877553,0.47023243755606947,4
raw_qc_pass,target_locked,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.4975510204081633,0.48795581823611045,0.04433578073272557,0.4517483330141712,0.41546685868941796,4
raw_qc_pass,target_locked,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.48459183673469386,0.4856057136203578,0.03401949384727864,0.49786450450452296,0.4817004834627284,4
raw_qc_pass,target_locked,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5023979591836735,0.5046665823074055,0.019021880579543876,0.4973540090683788,0.49559484732971926,4
raw_qc_pass,target_locked,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.4871938775510204,0.4885857821135076,0.022537652043291573,0.46959816657927367,0.4766044648675365,4
raw_qc_pass,target_locked,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.4773469387755102,0.47326984163932145,0.02607203009571656,0.43694538812752937,0.4323843944416332,4
raw_qc_pass,target_locked,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5150510204081633,0.516629363509257,0.038411705696203044,0.5194750134626064,0.509256467276821,4
raw_qc_pass,target_locked,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.49979591836734694,0.5005686895833008,0.03491220393799863,0.5015293115988153,0.49142757324664593,4
raw_qc_pass,target_locked,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.4872959183673469,0.4884134157992248,0.031221913987539478,0.47516132000877553,0.47023243755606947,4
raw_qc_pass,target_locked,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.4975510204081633,0.48795581823611045,0.04433578073272557,0.4517483330141712,0.41546685868941796,4
raw_qc_pass,target_locked,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.5203061224489796,0.5228376380843633,0.02851504388764941,0.5354626352058115,0.517727451733342,4
raw_qc_pass,target_locked,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.512704081632653,0.5146444575428512,0.057029285012409614,0.5170560557612138,0.5101332496357811,4
raw_qc_pass,target_locked,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.5052551020408164,0.5087206855402091,0.03947230640353554,0.48488524007441614,0.5014619059931716,4
raw_qc_pass,target_locked,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.4722959183673469,0.47200588948311706,0.013768758828914103,0.4507963885927463,0.45446132258894667,4
