dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogB_Task-2,left,F3,cue_full_0_800ms,0.0,800.0,39,37,38.39281492652802,24.15740158269207,14.988455720497539,0.3903974154846632,14.468629260048933,0.5728155339805825,26.02760669328634,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,Fz,cue_full_0_800ms,0.0,800.0,39,37,30.88425807063657,35.82239192049143,8.685792196662462,0.28123687403456005,7.936648426378838,0.05825242718446602,15.008366185108434,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F4,cue_full_0_800ms,0.0,800.0,39,37,27.2189283797393,26.77552866554695,12.471808374847038,0.4582035045924351,11.572020497822622,0.07766990291262135,24.148774261555623,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F3,target_candidate_250_500ms,2450.0,2700.0,39,37,51.10616187453647,42.61954677560266,8.510957941483328,0.16653486838587842,9.364575275369427,0.96875,15.961750361323357,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,Fz,target_candidate_250_500ms,2450.0,2700.0,39,37,11.986960345925874,7.743587001128292,4.86388096514185,0.4057643326395907,4.892393662444917,1.0,7.949885096587238,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F4,target_candidate_250_500ms,2450.0,2700.0,39,37,39.7789090757866,32.99066508650232,6.833358141342569,0.17178344756322214,6.879083890911516,0.0,17.33432064950466,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F3,cue_onset_0_200ms,0.0,200.0,44,43,2.960274589632558,3.2751442278753933,0.3792519545448081,0.1281137756183228,0.40246115449739067,0.0,5.271752940061001,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,Fz,cue_onset_0_200ms,0.0,200.0,44,43,3.496393902326869,3.8127915987780554,0.3632476884211572,0.10389209527548193,0.32321174112136186,0.0,2.8615693737699006,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F4,cue_onset_0_200ms,0.0,200.0,44,43,4.209385735660032,4.4661368935052455,0.2745044788160866,0.06521247898252885,0.39023914008304367,0.0,4.938742035856614,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F3,cue_offset_200_800ms,200.0,800.0,44,43,52.193989373551155,52.348549746810484,0.6210007268532973,0.011897935649425257,0.6351101926514885,0.0,17.53813192093527,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,Fz,cue_offset_200_800ms,200.0,800.0,44,43,62.90855074740041,63.60424398015343,0.9146175983132908,0.014538843884447391,0.8603197997462902,0.0,10.947293945721217,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F4,cue_offset_200_800ms,200.0,800.0,44,43,87.06155612144393,87.8932397488117,1.0755286974951075,0.012353658094450215,1.1307168892120385,0.0,16.89327868625715,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F3,cue_full_0_800ms,0.0,800.0,44,43,45.152622350140845,45.29165804139784,0.5697389939177004,0.012618070983775835,0.5851765245012568,0.0,14.441764411200019,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,Fz,cue_full_0_800ms,0.0,800.0,44,43,54.42053504195037,55.02704193996534,0.811585545143488,0.01491322245394818,0.7613712318242067,0.0,8.906237257655837,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F4,cue_full_0_800ms,0.0,800.0,44,43,75.30512126985668,76.02763093465894,0.9400983362351065,0.012483856614030994,0.9971101149670611,0.0,13.875628658000705,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F3,target_candidate_250_500ms,2450.0,2700.0,44,43,6.961211246331248,8.422673425037402,1.7288493887727185,0.2483546796089359,1.4888201091534363,0.0,9.562842197716236,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,Fz,target_candidate_250_500ms,2450.0,2700.0,44,43,10.218866841454778,9.621381787037468,0.8197517849381792,0.08021944092790212,0.6614423544809072,0.0,8.0844572968781,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,right,F4,target_candidate_250_500ms,2450.0,2700.0,44,43,19.573776603022118,19.07725190060106,0.5814023487333029,0.029703125795536897,0.32978568161414723,0.0,11.5126738473773,1000,5,descriptive_pointwise_interval_not_familywise_test
