preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,75.78961945771296,1.8961221710965264,0.7018296457160218,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory_control,cue_stage,0.0,0.8,73.80189850433815,2.1703040957214386,0.1703995277743421,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory_control,late_stage,0.8,2.8,78.57410725053461,1.105856390987676,0.570366345195935,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,87.16970534381088,1.0517530705599998,0.6297583427289488,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Training_mean_template,cue_stage,0.0,0.8,63.2138714343876,1.2292311223231638,0.9634197574214081,3,6,44,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Training_mean_template,late_stage,0.8,2.8,97.65021851600747,2.2596645567823304,0.6605098055625932,3,6,44,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Training_mean_template,candidate_target_600ms,2.0,2.6,120.33419423852553,3.250046238439063,0.801596915348087,3,6,44,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,right,Training_mean_template,cue_stage,0.0,0.8,74.10254107893448,1.1155363853672184,0.9298987076586458,3,6,47,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,right,Training_mean_template,late_stage,0.8,2.8,77.11685725509513,1.4163081329371616,0.35038858443652277,3,6,47,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,right,Training_mean_template,candidate_target_600ms,2.0,2.6,68.04424122167666,1.226683950079519,0.3902052287812037,3,6,47,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Q2_visual_only,cue_stage,0.0,0.8,58.94440925882539,1.1462089048462623,0.5189126064388407,3,6,44,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Q2_visual_only,late_stage,0.8,2.8,77.60824989160639,1.7958855009138714,0.7110884710920301,3,6,44,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-2,left,Q2_visual_only,candidate_target_600ms,2.0,2.6,91.9053776311221,2.482226508869753,0.7338249227210805,3,6,44,True,False
